customer_id,customer_name,state
1,Cliente 001,RJ
2,Cliente 002,PR
3,Cliente 003,PR
4,Cliente 004,MG
5,Cliente 005,PR
6,Cliente 006,RJ
7,Cliente 007,PR
8,Cliente 008,RJ
9,Cliente 009,RJ
10,Cliente 010,SP
11,Cliente 011,SP
12,Cliente 012,MG
13,Cliente 013,PR
14,Cliente 014,SP
15,Cliente 015,RJ
16,Cliente 016,RJ
17,Cliente 017,RJ
18,Cliente 018,SP
19,Cliente 019,PR
20,Cliente 020,PR
21,Cliente 021,PR
22,Cliente 022,SP
23,Cliente 023,MG
24,Cliente 024,PR
25,Cliente 025,SP
26,Cliente 026,MG
27,Cliente 027,SP
28,Cliente 028,RJ
29,Cliente 029,SP
30,Cliente 030,SP
31,Cliente 031,SP
32,Cliente 032,PR
33,Cliente 033,RJ
34,Cliente 034,MG
35,Cliente 035,PR
36,Cliente 036,PR
37,Cliente 037,RJ
38,Cliente 038,RJ
39,Cliente 039,SP
40,Cliente 040,PR
41,Cliente 041,RJ
42,Cliente 042,SP
43,Cliente 043,RJ
44,Cliente 044,RJ
45,Cliente 045,SP
46,Cliente 046,SP
47,Cliente 047,PR
48,Cliente 048,PR
49,Cliente 049,RJ
50,Cliente 050,MG
51,Cliente 051,RJ
52,Cliente 052,PR
53,Cliente 053,MG
54,Cliente 054,MG
55,Cliente 055,PR
56,Cliente 056,PR
57,Cliente 057,MG
58,Cliente 058,PR
59,Cliente 059,PR
60,Cliente 060,MG
61,Cliente 061,SP
62,Cliente 062,SP
63,Cliente 063,RJ
64,Cliente 064,PR
65,Cliente 065,SP
66,Cliente 066,PR
67,Cliente 067,SP
68,Cliente 068,RJ
69,Cliente 069,MG
70,Cliente 070,SP
71,Cliente 071,RJ
72,Cliente 072,RJ
73,Cliente 073,MG
74,Cliente 074,MG
75,Cliente 075,MG
76,Cliente 076,MG
77,Cliente 077,RJ
78,Cliente 078,SP
79,Cliente 079,RJ
80,Cliente 080,SP
81,Cliente 081,RJ
82,Cliente 082,PR
83,Cliente 083,MG
84,Cliente 084,RJ
85,Cliente 085,SP
86,Cliente 086,RJ
87,Cliente 087,PR
88,Cliente 088,RJ
89,Cliente 089,SP
90,Cliente 090,MG
91,Cliente 091,PR
92,Cliente 092,PR
93,Cliente 093,RJ
94,Cliente 094,RJ
95,Cliente 095,RJ
96,Cliente 096,SP
97,Cliente 097,PR
98,Cliente 098,PR
99,Cliente 099,PR
100,Cliente 100,SP
