product_id,product_name,category,list_price
1,SKU-001,Moda,60.7
2,SKU-002,Moda,533.57
3,SKU-003,Tech,347.25
4,SKU-004,Casa,327.73
5,SKU-005,Moda,523.44
6,SKU-006,Casa,787.09
7,SKU-007,Esporte,58.53
8,SKU-008,Casa,767.92
9,SKU-009,Esporte,42.07
10,SKU-010,Casa,721.56
11,SKU-011,Moda,640.27
12,SKU-012,Moda,489.06
13,SKU-013,Esporte,397.88
14,SKU-014,Esporte,260.22
15,SKU-015,Moda,128.66
16,SKU-016,Tech,318.25
17,SKU-017,Casa,764.1
18,SKU-018,Tech,226.25
19,SKU-019,Moda,522.21
20,SKU-020,Esporte,220.61
21,SKU-021,Esporte,606.28
22,SKU-022,Casa,124.16
23,SKU-023,Tech,329.63
24,SKU-024,Casa,39.75
25,SKU-025,Esporte,633.19
26,SKU-026,Tech,696.52
27,SKU-027,Moda,118.69
28,SKU-028,Moda,329.1
29,SKU-029,Casa,504.54
30,SKU-030,Casa,163.48
31,SKU-031,Esporte,177.26
32,SKU-032,Tech,491.04
33,SKU-033,Tech,636.77
34,SKU-034,Tech,322.37
35,SKU-035,Tech,330.39
36,SKU-036,Casa,686.46
37,SKU-037,Casa,217.27
38,SKU-038,Moda,601.73
39,SKU-039,Casa,323.32
40,SKU-040,Moda,586.39
