sale_id,customer_id,product_id,sale_date,channel,quantity,unit_price,discount_pct
1,71,3,2026-05-17,Loja,3,347.25,0.15
2,77,28,2025-03-03,Loja,1,329.1,0.15
3,40,30,2025-10-26,Loja,3,163.48,0.15
4,79,29,2025-11-30,Web,2,504.54,0.0
5,41,21,2026-03-07,Web,3,606.28,0.0
6,81,8,2026-04-04,Loja,1,767.92,0.0
7,61,18,2026-06-14,Loja,1,226.25,0.1
8,10,36,2025-08-19,Web,4,686.46,0.1
9,6,21,2025-09-10,App,1,606.28,0.1
10,59,3,2025-08-31,App,4,347.25,0.1
11,63,32,2025-08-22,Loja,4,491.04,0.05
12,62,30,2025-06-26,App,1,163.48,0.0
13,28,31,2026-04-06,Loja,3,177.26,0.15
14,62,15,2026-05-26,App,3,128.66,0.0
15,49,31,2026-06-21,Loja,3,177.26,0.15
16,41,12,2025-07-26,App,1,489.06,0.0
17,12,35,2026-07-21,Web,4,330.39,0.0
18,39,29,2026-01-20,Loja,1,504.54,0.15
19,22,29,2026-03-20,Web,4,504.54,0.0
20,83,5,2026-08-19,Loja,3,523.44,0.05
21,11,18,2025-01-30,App,2,226.25,0.05
22,88,40,2026-06-04,Web,3,586.39,0.0
23,89,19,2025-10-12,Loja,2,522.21,0.15
24,51,32,2026-04-24,App,4,491.04,0.0
25,79,23,2025-10-15,Loja,4,329.63,0.1
26,80,8,2025-10-06,Web,2,767.92,0.1
27,5,7,2025-12-26,Loja,2,58.53,0.0
28,10,10,2026-05-29,Loja,3,721.56,0.0
29,78,2,2026-03-28,Loja,1,533.57,0.1
30,1,10,2026-07-12,Web,4,721.56,0.0
31,25,1,2026-04-11,App,1,60.7,0.05
32,22,36,2025-05-19,Loja,1,686.46,0.05
33,7,16,2025-11-13,Web,4,318.25,0.15
34,71,35,2025-09-08,Web,4,330.39,0.1
35,85,35,2026-08-20,Web,4,330.39,0.0
36,96,32,2025-07-12,Web,1,491.04,0.1
37,68,5,2026-07-03,Loja,1,523.44,0.1
38,87,36,2025-12-13,Web,4,686.46,0.1
39,46,4,2025-10-22,App,3,327.73,0.0
40,86,26,2025-03-11,Web,1,696.52,0.0
41,47,30,2025-10-04,App,1,163.48,0.0
42,5,20,2026-08-23,App,1,220.61,0.0
43,21,20,2025-02-03,Web,3,220.61,0.1
44,69,37,2025-09-14,App,2,217.27,0.05
45,94,6,2026-06-22,App,2,787.09,0.0
46,29,4,2025-08-07,Loja,1,327.73,0.05
47,78,15,2026-06-30,Loja,1,128.66,0.05
48,91,27,2026-01-13,App,2,118.69,0.0
49,57,26,2025-01-20,App,4,696.52,0.0
50,88,32,2026-07-01,Loja,1,491.04,0.0
51,50,18,2025-08-04,App,1,226.25,0.05
52,46,37,2025-06-27,Loja,3,217.27,0.0
53,4,8,2026-01-21,Loja,3,767.92,0.15
54,69,38,2026-05-28,App,2,601.73,0.0
55,66,23,2026-07-23,App,2,329.63,0.0
56,11,9,2025-09-03,App,4,42.07,0.05
57,70,11,2026-01-06,Loja,2,640.27,0.05
58,55,10,2026-08-18,Web,2,721.56,0.0
59,28,30,2026-06-30,Loja,2,163.48,0.0
60,38,8,2025-05-06,Web,3,767.92,0.15
61,79,13,2026-04-21,App,2,397.88,0.1
62,33,21,2025-07-08,App,2,606.28,0.0
63,63,32,2026-05-04,App,4,491.04,0.0
64,59,20,2025-07-30,Web,1,220.61,0.15
65,57,39,2025-11-06,Loja,3,323.32,0.15
66,21,5,2026-01-21,Web,2,523.44,0.0
67,1,19,2026-08-19,App,4,522.21,0.0
68,63,34,2025-08-21,Loja,4,322.37,0.0
69,4,26,2026-01-15,Web,4,696.52,0.0
70,60,34,2025-12-29,App,4,322.37,0.05
71,92,22,2025-03-14,App,4,124.16,0.15
72,84,15,2025-09-14,Loja,1,128.66,0.05
73,26,3,2026-09-02,App,4,347.25,0.0
74,32,1,2025-05-14,Web,1,60.7,0.05
75,88,22,2025-10-30,Loja,3,124.16,0.0
76,27,24,2025-05-18,App,2,39.75,0.15
77,5,26,2025-12-10,Loja,4,696.52,0.0
78,25,8,2025-05-25,App,3,767.92,0.0
79,90,34,2026-02-28,Web,1,322.37,0.05
80,84,35,2026-06-08,Web,1,330.39,0.15
81,91,10,2026-03-31,App,2,721.56,0.15
82,82,7,2025-01-22,Loja,3,58.53,0.1
